Year,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit,Qty,Trade Value (US$)
2014,Export,484,Mexico,MEX,699,India,IND,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,4672548900.0,2236904242
2014,Export,484,Mexico,MEX,724,Spain,ESP,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,9438828300.0,4787910693
2014,Export,484,Mexico,MEX,757,Switzerland,CHE,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,230798040.0,135063783
2014,Import,484,Mexico,MEX,842,USA,USA,270900,"Petroleum oils, oils from bituminous minerals, crude",No Quantity,0.0,3078
2014,Export,484,Mexico,MEX,842,USA,USA,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,45980804550.0,25012536475
2015,Import,340,Honduras,HND,0,World,WLD,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,34586.0,38080
2015,Import,340,Honduras,HND,699,India,IND,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,34586.0,38080
2015,Import,388,Jamaica,JAM,0,World,WLD,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,1211622963.0,414322275
2015,Import,388,Jamaica,JAM,170,Colombia,COL,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,174052068.0,57644184
2015,Import,388,Jamaica,JAM,484,Mexico,MEX,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,48175933.0,21014700
2015,Import,388,Jamaica,JAM,724,Spain,ESP,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,750.0,2221
2015,Import,388,Jamaica,JAM,862,Venezuela,VEN,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,989394212.0,335661170
2015,Import,484,Mexico,MEX,0,World,WLD,270900,"Petroleum oils, oils from bituminous minerals, crude",No Quantity,0.0,10739
2015,Export,484,Mexico,MEX,0,World,WLD,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,48235836927.0,18451133808
2015,Export,484,Mexico,MEX,40,Austria,AUT,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,662791010.0,253530288
2015,Export,484,Mexico,MEX,56,Belgium,BEL,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,34639625.0,13250322
2015,Import,484,Mexico,MEX,124,Canada,CAN,270900,"Petroleum oils, oils from bituminous minerals, crude",No Quantity,0.0,2640
2015,Export,484,Mexico,MEX,156,China,CHN,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,562495062.0,215165162
2015,Export,484,Mexico,MEX,214,Dominican Rep.,DOM,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,448982886.0,171744575
2015,Export,484,Mexico,MEX,251,France,FRA,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,1202914074.0,460137731
2015,Export,484,Mexico,MEX,276,Germany,DEU,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,257995480.0,98688225
2015,Export,484,Mexico,MEX,381,Italy,ITA,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,754080781.0,288450378
2015,Export,484,Mexico,MEX,388,Jamaica,JAM,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,100787800.0,38553269
2015,Export,484,Mexico,MEX,392,Japan,JPN,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,2135664093.0,816932523
2015,Export,484,Mexico,MEX,410,Rep. of Korea,KOR,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,2031182593.0,776966343
2015,Export,484,Mexico,MEX,528,Netherlands,NLD,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,784701095.0,300163236
2015,Export,484,Mexico,MEX,558,Nicaragua,NIC,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,239255521.0,91519831
2015,Export,484,Mexico,MEX,620,Portugal,PRT,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,279930483.0,107078785
2015,Export,484,Mexico,MEX,699,India,IND,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,3424153451.0,1309804443
2015,Export,484,Mexico,MEX,724,Spain,ESP,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,5712867135.0,2185281373
2015,Export,484,Mexico,MEX,826,United Kingdom,GBR,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,70118799.0,26821787
2015,Import,484,Mexico,MEX,842,USA,USA,270900,"Petroleum oils, oils from bituminous minerals, crude",No Quantity,0.0,8099
2015,Export,484,Mexico,MEX,842,USA,USA,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,29533277031.0,11297045537
2016,Import,340,Honduras,HND,0,World,WLD,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,2.0,2037
2016,Import,340,Honduras,HND,276,Germany,DEU,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,2.0,2037
2016,Import,388,Jamaica,JAM,0,World,WLD,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,1078858368.0,324239644
2016,Import,388,Jamaica,JAM,44,Bahamas,BHS,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,86192085.0,29894879
2016,Import,388,Jamaica,JAM,170,Colombia,COL,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,469527343.0,142263317
2016,Import,388,Jamaica,JAM,218,Ecuador,ECU,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,44031656.0,15064962
2016,Import,388,Jamaica,JAM,484,Mexico,MEX,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,320027599.0,92118036
2016,Import,388,Jamaica,JAM,842,USA,USA,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,327.0,1100
2016,Import,388,Jamaica,JAM,862,Venezuela,VEN,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,159079358.0,44897351
2016,Import,484,Mexico,MEX,0,World,WLD,270900,"Petroleum oils, oils from bituminous minerals, crude",No Quantity,0.0,11257
2016,Export,484,Mexico,MEX,0,World,WLD,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,52343459918.0,15582026364
2016,Export,484,Mexico,MEX,40,Austria,AUT,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,481081701.0,143212309
2016,Export,484,Mexico,MEX,56,Belgium,BEL,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,176144880.0,52436239
2016,Export,484,Mexico,MEX,156,China,CHN,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,766097845.0,228058230
2016,Export,484,Mexico,MEX,214,Dominican Rep.,DOM,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,1108228266.0,329906393
2016,Import,484,Mexico,MEX,218,Ecuador,ECU,270900,"Petroleum oils, oils from bituminous minerals, crude",No Quantity,0.0,2
2016,Export,484,Mexico,MEX,251,France,FRA,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,1121364073.0,333816767
2016,Export,484,Mexico,MEX,276,Germany,DEU,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,568783923.0,169320219
2016,Import,484,Mexico,MEX,360,Indonesia,IDN,270900,"Petroleum oils, oils from bituminous minerals, crude",No Quantity,0.0,16
2016,Export,484,Mexico,MEX,381,Italy,ITA,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,561921829.0,167277455
2016,Export,484,Mexico,MEX,388,Jamaica,JAM,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,355023360.0,105686238
2016,Export,484,Mexico,MEX,392,Japan,JPN,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,4226534075.0,1258188998
2016,Export,484,Mexico,MEX,410,Rep. of Korea,KOR,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,3279578309.0,976291513
2016,Export,484,Mexico,MEX,528,Netherlands,NLD,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,511206168.0,152180005
2016,Export,484,Mexico,MEX,558,Nicaragua,NIC,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,249492899.0,74271073
2016,Export,484,Mexico,MEX,620,Portugal,PRT,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,376470289.0,112070734
2016,Export,484,Mexico,MEX,699,India,IND,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,5445725498.0,1621127805
2016,Export,484,Mexico,MEX,724,Spain,ESP,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,7117082262.0,2118670864
2016,Export,484,Mexico,MEX,757,Switzerland,CHE,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,631250345.0,187915731
2016,Export,484,Mexico,MEX,784,United Arab Emirates,ARE,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,119457600.0,35561109
2016,Import,484,Mexico,MEX,826,United Kingdom,GBR,270900,"Petroleum oils, oils from bituminous minerals, crude",No Quantity,0.0,9146
2016,Import,484,Mexico,MEX,842,USA,USA,270900,"Petroleum oils, oils from bituminous minerals, crude",No Quantity,0.0,2093
2016,Export,484,Mexico,MEX,842,USA,USA,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,25248016588.0,7516034682
2017,Import,388,Jamaica,JAM,0,World,WLD,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,1055940957.0,405459747
2017,Export,388,Jamaica,JAM,0,World,WLD,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,62.0,400
2017,Import,388,Jamaica,JAM,44,Bahamas,BHS,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,86721300.0,31784589
2017,Export,388,Jamaica,JAM,136,Cayman Isds,CYM,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,62.0,400
2017,Import,388,Jamaica,JAM,170,Colombia,COL,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,602410000.0,236290811
2017,Import,388,Jamaica,JAM,484,Mexico,MEX,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,284103000.0,108438272
2017,Import,388,Jamaica,JAM,842,USA,USA,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,457.0,1158
2017,Import,388,Jamaica,JAM,862,Venezuela,VEN,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,82706200.0,28944915
2017,Import,484,Mexico,MEX,0,World,WLD,270900,"Petroleum oils, oils from bituminous minerals, crude",No Quantity,0.0,109619
2017,Export,484,Mexico,MEX,0,World,WLD,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,53736233001.0,20047210169
2017,Export,484,Mexico,MEX,56,Belgium,BEL,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,169560893.0,63257558
2017,Import,484,Mexico,MEX,124,Canada,CAN,270900,"Petroleum oils, oils from bituminous minerals, crude",No Quantity,0.0,10
2017,Export,484,Mexico,MEX,156,China,CHN,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,974959808.0,363725239
2017,Export,484,Mexico,MEX,214,Dominican Rep.,DOM,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,415832585.0,155133376
2017,Import,484,Mexico,MEX,218,Ecuador,ECU,270900,"Petroleum oils, oils from bituminous minerals, crude",No Quantity,0.0,4
2017,Export,484,Mexico,MEX,251,France,FRA,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,69782499.0,26033541
2017,Export,484,Mexico,MEX,276,Germany,DEU,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,66943308.0,24974333
2017,Export,484,Mexico,MEX,381,Italy,ITA,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,253223141.0,94469174
