Year,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit,Qty,Trade Value (US$)
2011.0,Import,76.0,Brazil,BRA,124.0,Canada,CAN,270900.0,"Petroleum oils, oils from bituminous minerals, crude",No Quantity,0.0,4255.0
2011.0,Export,76.0,Brazil,BRA,124.0,Canada,CAN,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,966847900.0,634277847.0
2011.0,Export,76.0,Brazil,BRA,136.0,Cayman Isds,CYM,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,436064700.0,269105796.0
2011.0,Export,76.0,Brazil,BRA,152.0,Chile,CHL,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,3034967208.0,2184164235.0
2011.0,Export,76.0,Brazil,BRA,156.0,China,CHN,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,7115470950.0,4883733718.0
2011.0,Import,76.0,Brazil,BRA,180.0,Dem. Rep. of the Congo,COD,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,136611000.0,91521356.0
2011.0,Import,76.0,Brazil,BRA,226.0,Equatorial Guinea,GNQ,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,597939600.0,506652915.0
2011.0,Export,76.0,Brazil,BRA,251.0,France,FRA,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,707856000.0,497006975.0
2011.0,Import,76.0,Brazil,BRA,276.0,Germany,DEU,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,5.0,137.0
2011.0,Import,76.0,Brazil,BRA,360.0,Indonesia,IDN,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,32824800.0,33321391.0
2011.0,Import,76.0,Brazil,BRA,368.0,Iraq,IRQ,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,1234116000.0,914573809.0
2011.0,Import,76.0,Brazil,BRA,458.0,Malaysia,MYS,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,74456200.0,73714822.0
2011.0,Import,76.0,Brazil,BRA,528.0,Netherlands,NLD,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,63042100.0,54009560.0
2011.0,Export,76.0,Brazil,BRA,528.0,Netherlands,NLD,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,781497300.0,538178495.0
2011.0,Export,76.0,Brazil,BRA,533.0,Aruba,ABW,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,94822200.0,67894546.0
2011.0,Import,76.0,Brazil,BRA,566.0,Nigeria,NGA,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,9172844890.0,8239503071.0
2011.0,Export,76.0,Brazil,BRA,579.0,Norway,NOR,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,41922360.0,29328896.0
2011.0,Export,76.0,Brazil,BRA,600.0,Paraguay,PRY,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,2575.0,10055.0
2011.0,Import,76.0,Brazil,BRA,604.0,Peru,PER,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,139766060.0,156002099.0
2011.0,Export,76.0,Brazil,BRA,604.0,Peru,PER,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,242849000.0,186252039.0
